aleph						ālef
apte						āptλ	
actor						λkøtar
good           			    gud
morning					    mör-neŋg  
hello 						h@lo
how							hāw					
price                       p-rāes
normal						nörømal
craft                       k-rāf-t
somebody	                sambadee
something                   smŧ-heŋg 
longer                      löŋgar
respect						res-pλk-t				    
frankly					    f-r@n-klee 
openly                      opanlee
first						fars-t
outstanding                 åts-t@n-deŋg
age							λj
peace  						pees
mind						māen-d
responsible					res-pönøsebal
running						raneŋg						
angry 						@ŋg-ree
seek						seek				    
evening						evaneŋg
afternoon					āf-tarnuun
development                 dλvlapmλл-t
honesty						önλs-tee
understand					an-dars-t@n-d
matter					    m@t-tar				
against						agλŋs-t
trust						t-ras-t					
election					elλkøs-han
clothes 					k-löđ-s
express						λk-sp-rλs
remember					remλm-bar						
bring						b-reŋg
generations					janarλs-han-s
fear						feyar
trouble                     trabal
enjoy 						λn-jöy
request 					rek-wλs-t
identity					āydλnøtetee
company						kamøpanee
forgive					    fargew
muhammed					muhamađ                 
daughter                    dötar
departmental                depār-tømλn-tal
store						s-toar
shopping                    s-höpeŋg
popular                     pöpular
problem                     p-röbølλm                  
scratching					s-k-r@ceŋg
childhood					cāel-dhud
sufficient					saf-fes-han-t
conversation				könøvarsλs-han
whereas 	                w-hλar@z 
recognition	                rλkagnes-han
of	                     	öf
the 	                    đa 
inherent 	                enhλran-t 
dignity 	                degnete 
and	                     	@n-d
equal 	                    ek-wal 
and 	                    @n-d 
inalienable 	            enλleλnλbal 
rights 	                    raet-s 
all 	                    öl-l 
members 	                mλm-barz 
human 	                    h-yuman 
family 	                    f@melee 
is 	                     	ez 
foundation 	                fån-dλys-han  
freedom 	                f-reedam 
justice 	                jas-tes 
in 	                     	en 
world	                    warl-d

aaron	                  	λyran
ab	                  		λ bee
abhishek	                ab-hes-hλk
adam	                  	ø@dam
aditya	                  	ađeŧ-ya
agarwal	                  	agarwāl
ahmed	                  	ahmađ
ajinkya	                  	ajeŋk-ya
akila	                  	akelā
akshdeep	                ak-s-h-deep
al	                  		ø@l
alex	                  	ø@lλk-s
ali	                  		ālee
ambati	                  	am-batee
amit	                  	ameŧ
anderson	                ø@n-darsan
andre	                  	ān-đrλ
andrew	                  	ø@n-dru
aniket	                  	anekλŧ
aniruddha	                aneruđ-đ-ha
ankit	                  	aŋket
anukul	                  	anukul
anureet	                  	anureeŧ
apoorv	                  	apuur-w
archer	                  	ārcar
aryaman	                  	ar-yaman
ashwin	                  	as-hwen
asif	                  	asef
avesh	                  	āwλs-h
axar	                  	ak-s-har
baby	                  	bλbee
bangalore	                b@ŋgaloar
barinder	                baren-đar
basil	                  	bλzel
behrendorff	                behrλndör-f
ben	                  		bλn
bhui	                  	b-hue
bhuvneshwar	                b-huwanλs-hwar
billings	                bel-leŋg-z
billy	                  	bel-lee
binny	                  	ben-ne
bipul	                  	bepul
birla	                  	bir-lā
bishnoi	                  	bis-hлöy
boult	                  	bol-t
brathwaite	                b-r@ŧ-hwλλt
bravo	                  	b-rāvo
brendon	                  	b-rλndan
bumrah	                  	bumrā
buttler	                  	batlar
cameron	                  	k@maran
carlos	                  	kārlos
chahal	                  	cahāl
chahar	                  	cahā
chaitanya	                cδŧan-ya
challengers	                c@l-leλnjar-z
chameera	               	cameerā
chawla	                  	cāwlā
chennai	                  	cλn-naee
chopra	                  	cop-rā
choudhary	                cåđ-haree
chris	                  	k-h-res
christian	                k-h-rescan
colin	                  	kölen
corey	                  	köre
coulter-nile	            kol-tar-nδl
cummins	                  	kamen-s
curran	                  	kar-ran
cutting	                  	kateŋg
dagar	                  	dāgar
dala	                  	ɖālā
dananjaya	                d-hananjay
daniel	                  	d@n-yal
dar	                  		dār
d'arcy	                  	dārse
daredevils	                dλardλval-s
david	                  	dλyved
de	                  		de
deepak	                  	đeepak
delhi	                  	del-lee
delport	                  	dλlpor-t
deshpande	                đλs-hpān-dλ
dhawal	                  	đ-hawal
dhawan	                  	đ-hawan
dhillon	                  	đ-hel-lan
dhoni	                  	đ-honee
dhruv	                  	đ-h-ruw
dinesh	                  	đenλs-h
du	                  		đu
duminy	                  	dumenee
dushmantha	                đus-hmanŧa
dwarshuis	                đ-warshues
dwayne	                  	d-wλayn
evin	                  	λven
faf	                  		f@f
finch	                  	fen-c
gambhir	                  	gamb-heer
gautam	                  	gåŧam
gayle	                  	gλl
ghosh	                  	g-hos-h
gill	                  	gel-l
glenn	                  	g-lλn
gopal	                  	gopāφ
goswami	                  	gos-wāmee
gowtham	                  	gåŧam
grandhomme	                g-r@n-dhom
gurkeerat	                gurkeeraŧ
hales	                  	hλyl-s
harbhajan	                harb-hajan
hardik	                  	hār-đek
harshal	                  	has-hal
hasan	                  	hasan
heinrich	                hδnrek-h
hooda	                  	huudā
